id,title,url,locator,revision,accessed_on,kind,scope,limitations
evidence:baai-bge-reranker-v2-m3-context,bge-reranker-v2-m3 — context declaration,https://huggingface.co/BAAI/bge-reranker-v2-m3/blob/953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e/README.md,"README.md: context length / model specification / usage limits; matching lines 34, 35, 121, 132, 147, 152, 158, 170, 193, 208, 213, 219",953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,2026-09-15,publisher-report,BAAI/bge-reranker-v2-m3؛ طول زمینهٔ اعلام‌شده، جدا از مقدار پیکربندی و طول آزموده‌شده.,KV cache، توکن تصویر و خروجی تولیدی نیز باید در سناریوی واقعی حساب شوند.
evidence:baai-bge-reranker-v2-m3-weight-files,bge-reranker-v2-m3 — selected weight-file sizes,https://huggingface.co/api/models/BAAI/bge-reranker-v2-m3?blobs=true,$.siblings[ rfilename matches selected manifest filenames ].size; $.sha,953dc6f6f85a1b2dbfca4c34a2796e7dde08d41e,2026-09-15,calculated-from-specifications,BAAI/bge-reranker-v2-m3؛ جمع بایت فایل‌های وزن همین نمایش؛ توکنایزر، cache و تبدیل خارج است.,اندازهٔ دیسک است؛ معادل VRAM یا RAM نیست. | هیچ فایل وزن دانلود یا روی سخت‌افزار اجرا نشده است.
evidence:coherelabs-aya-expanse-32b-card,aya-expanse-32b — model card,https://huggingface.co/CohereLabs/aya-expanse-32b,"README.md: model description / architecture / intended use; matching lines 14, 27, 116, 124, 141",,2026-09-15,publisher-report,CohereLabs/aya-expanse-32b؛ شناسنامه و کاربرد اعلام‌شده، بدون تأیید مستقل.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کیفیت، زمان پاسخ و حداقل سخت‌افزار از شناسنامه استنتاج نمی‌شود. | کارت عمومی در تاریخ دسترسی خوانده شده؛ متن کارت به commit وزن‌ها پین نشده است.
evidence:coherelabs-aya-expanse-32b-metadata,aya-expanse-32b — Hub metadata,https://huggingface.co/api/models/CohereLabs/aya-expanse-32b?blobs=true,$.sha; $.id; $.pipeline_tag; $.cardData; $.safetensors; $.siblings,b306ea27e360683b50c005d7fcbad6a242317910,2026-09-15,publisher-report,CohereLabs/aya-expanse-32b؛ فرادادهٔ مشاهده‌شده در این تاریخ، نه اندازه‌گیری اجرای مدل.,فهرست فایل و شمار tensorها معادل حافظهٔ اجرا یا شمار پارامتر یکتا نیست.
evidence:coherelabs-aya-expanse-32b-parameters,aya-expanse-32b — parameter specification,https://huggingface.co/CohereLabs/aya-expanse-32b,"README.md: parameter count / named model variant; matching lines 8, 27, 65",,2026-09-15,publisher-report,CohereLabs/aya-expanse-32b؛ شمار پارامترهای معرفی‌شده و حدود شمارش آن‌ها.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کارت عمومی در تاریخ دسترسی خوانده شده؛ متن کارت به commit وزن‌ها پین نشده است.
evidence:coherelabs-aya-expanse-32b-license,aya-expanse-32b — license declaration,https://huggingface.co/CohereLabs/aya-expanse-32b,"README.md: license / underlying-model terms; Hub $.cardData.license; matching lines 1, 23, 162",,2026-09-15,publisher-report,CohereLabs/aya-expanse-32b؛ نام و شرایط مجوز اعلام‌شدهٔ ناشر؛ بدون داوری دربارهٔ اجرای حقوقی در ایران.,
evidence:coherelabs-aya-expanse-32b-context,aya-expanse-32b — context declaration,https://huggingface.co/CohereLabs/aya-expanse-32b,README.md: context length / model specification / usage limits; matching lines 128,,2026-09-15,publisher-report,CohereLabs/aya-expanse-32b؛ طول زمینهٔ اعلام‌شده، جدا از مقدار پیکربندی و طول آزموده‌شده.,KV cache، توکن تصویر و خروجی تولیدی نیز باید در سناریوی واقعی حساب شوند.
evidence:coherelabs-aya-expanse-32b-weight-files,aya-expanse-32b — selected weight-file sizes,https://huggingface.co/api/models/CohereLabs/aya-expanse-32b?blobs=true,$.siblings[ rfilename matches selected manifest filenames ].size; $.sha,b306ea27e360683b50c005d7fcbad6a242317910,2026-09-15,calculated-from-specifications,CohereLabs/aya-expanse-32b؛ جمع بایت فایل‌های وزن همین نمایش؛ توکنایزر، cache و تبدیل خارج است.,اندازهٔ دیسک است؛ معادل VRAM یا RAM نیست. | هیچ فایل وزن دانلود یا روی سخت‌افزار اجرا نشده است.
evidence:coherelabs-aya-expanse-8b-card,aya-expanse-8b — model card,https://huggingface.co/CohereLabs/aya-expanse-8b,"README.md: model description / architecture / intended use; matching lines 14, 27, 116, 124, 143",,2026-09-15,publisher-report,CohereLabs/aya-expanse-8b؛ شناسنامه و کاربرد اعلام‌شده، بدون تأیید مستقل.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کیفیت، زمان پاسخ و حداقل سخت‌افزار از شناسنامه استنتاج نمی‌شود. | کارت عمومی در تاریخ دسترسی خوانده شده؛ متن کارت به commit وزن‌ها پین نشده است.
evidence:coherelabs-aya-expanse-8b-metadata,aya-expanse-8b — Hub metadata,https://huggingface.co/api/models/CohereLabs/aya-expanse-8b?blobs=true,$.sha; $.id; $.pipeline_tag; $.cardData; $.safetensors; $.siblings,5062468bf9bc0c6035fd64e06274333ec127d980,2026-09-15,publisher-report,CohereLabs/aya-expanse-8b؛ فرادادهٔ مشاهده‌شده در این تاریخ، نه اندازه‌گیری اجرای مدل.,فهرست فایل و شمار tensorها معادل حافظهٔ اجرا یا شمار پارامتر یکتا نیست.
evidence:coherelabs-aya-expanse-8b-parameters,aya-expanse-8b — parameter specification,https://huggingface.co/CohereLabs/aya-expanse-8b,"README.md: parameter count / named model variant; matching lines 27, 65",,2026-09-15,publisher-report,CohereLabs/aya-expanse-8b؛ شمار پارامترهای معرفی‌شده و حدود شمارش آن‌ها.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کارت عمومی در تاریخ دسترسی خوانده شده؛ متن کارت به commit وزن‌ها پین نشده است.
evidence:coherelabs-aya-expanse-8b-license,aya-expanse-8b — license declaration,https://huggingface.co/CohereLabs/aya-expanse-8b,"README.md: license / underlying-model terms; Hub $.cardData.license; matching lines 1, 23, 167",,2026-09-15,publisher-report,CohereLabs/aya-expanse-8b؛ نام و شرایط مجوز اعلام‌شدهٔ ناشر؛ بدون داوری دربارهٔ اجرای حقوقی در ایران.,
evidence:coherelabs-aya-expanse-8b-context,aya-expanse-8b — context declaration,https://huggingface.co/CohereLabs/aya-expanse-8b,README.md: context length / model specification / usage limits; matching lines 128,,2026-09-15,publisher-report,CohereLabs/aya-expanse-8b؛ طول زمینهٔ اعلام‌شده، جدا از مقدار پیکربندی و طول آزموده‌شده.,KV cache، توکن تصویر و خروجی تولیدی نیز باید در سناریوی واقعی حساب شوند.
evidence:coherelabs-aya-expanse-8b-weight-files,aya-expanse-8b — selected weight-file sizes,https://huggingface.co/api/models/CohereLabs/aya-expanse-8b?blobs=true,$.siblings[ rfilename matches selected manifest filenames ].size; $.sha,5062468bf9bc0c6035fd64e06274333ec127d980,2026-09-15,calculated-from-specifications,CohereLabs/aya-expanse-8b؛ جمع بایت فایل‌های وزن همین نمایش؛ توکنایزر، cache و تبدیل خارج است.,اندازهٔ دیسک است؛ معادل VRAM یا RAM نیست. | هیچ فایل وزن دانلود یا روی سخت‌افزار اجرا نشده است.
evidence:coherelabs-tiny-aya-global-card,tiny-aya-global — model card,https://huggingface.co/CohereLabs/tiny-aya-global,"README.md: model description / architecture / intended use; matching lines 21, 36, 90, 111, 119",,2026-09-15,publisher-report,CohereLabs/tiny-aya-global؛ شناسنامه و کاربرد اعلام‌شده، بدون تأیید مستقل.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کیفیت، زمان پاسخ و حداقل سخت‌افزار از شناسنامه استنتاج نمی‌شود. | کارت عمومی در تاریخ دسترسی خوانده شده؛ متن کارت به commit وزن‌ها پین نشده است.
evidence:coherelabs-tiny-aya-global-metadata,tiny-aya-global — Hub metadata,https://huggingface.co/api/models/CohereLabs/tiny-aya-global?blobs=true,$.sha; $.id; $.pipeline_tag; $.cardData; $.safetensors; $.siblings,00590ff258ccd84a805f13efcd1c34c2a542654f,2026-09-15,publisher-report,CohereLabs/tiny-aya-global؛ فرادادهٔ مشاهده‌شده در این تاریخ، نه اندازه‌گیری اجرای مدل.,فهرست فایل و شمار tensorها معادل حافظهٔ اجرا یا شمار پارامتر یکتا نیست.
evidence:coherelabs-tiny-aya-global-parameters,tiny-aya-global — parameter specification,https://huggingface.co/CohereLabs/tiny-aya-global,"README.md: parameter count / named model variant; matching lines 8, 25, 36, 51, 80, 201",,2026-09-15,publisher-report,CohereLabs/tiny-aya-global؛ شمار پارامترهای معرفی‌شده و حدود شمارش آن‌ها.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کارت عمومی در تاریخ دسترسی خوانده شده؛ متن کارت به commit وزن‌ها پین نشده است.
evidence:coherelabs-tiny-aya-global-license,tiny-aya-global — license declaration,https://huggingface.co/CohereLabs/tiny-aya-global,"README.md: license / underlying-model terms; Hub $.cardData.license; matching lines 1, 32, 197, 201",,2026-09-15,publisher-report,CohereLabs/tiny-aya-global؛ نام و شرایط مجوز اعلام‌شدهٔ ناشر؛ بدون داوری دربارهٔ اجرای حقوقی در ایران.,
evidence:coherelabs-tiny-aya-global-context,tiny-aya-global — context declaration,https://huggingface.co/CohereLabs/tiny-aya-global,"README.md: context length / model specification / usage limits; matching lines 38, 119, 123",,2026-09-15,publisher-report,CohereLabs/tiny-aya-global؛ طول زمینهٔ اعلام‌شده، جدا از مقدار پیکربندی و طول آزموده‌شده.,KV cache، توکن تصویر و خروجی تولیدی نیز باید در سناریوی واقعی حساب شوند.
evidence:coherelabs-tiny-aya-global-weight-files,tiny-aya-global — selected weight-file sizes,https://huggingface.co/api/models/CohereLabs/tiny-aya-global?blobs=true,$.siblings[ rfilename matches selected manifest filenames ].size; $.sha,00590ff258ccd84a805f13efcd1c34c2a542654f,2026-09-15,calculated-from-specifications,CohereLabs/tiny-aya-global؛ جمع بایت فایل‌های وزن همین نمایش؛ توکنایزر، cache و تبدیل خارج است.,اندازهٔ دیسک است؛ معادل VRAM یا RAM نیست. | هیچ فایل وزن دانلود یا روی سخت‌افزار اجرا نشده است.
evidence:huggingfacetb-smollm2-1-7b-instruct-card,SmolLM2-1.7B-Instruct — model card,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct/blob/31b70e2e869a7173562077fd711b654946d38674/README.md,"README.md: model description / architecture / intended use; matching lines 22, 30, 308",31b70e2e869a7173562077fd711b654946d38674,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-1.7B-Instruct؛ شناسنامه و کاربرد اعلام‌شده، بدون تأیید مستقل.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کیفیت، زمان پاسخ و حداقل سخت‌افزار از شناسنامه استنتاج نمی‌شود.
evidence:huggingfacetb-smollm2-1-7b-instruct-metadata,SmolLM2-1.7B-Instruct — Hub metadata,https://huggingface.co/api/models/HuggingFaceTB/SmolLM2-1.7B-Instruct?blobs=true,$.sha; $.id; $.pipeline_tag; $.cardData; $.safetensors; $.siblings,31b70e2e869a7173562077fd711b654946d38674,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-1.7B-Instruct؛ فرادادهٔ مشاهده‌شده در این تاریخ، نه اندازه‌گیری اجرای مدل.,فهرست فایل و شمار tensorها معادل حافظهٔ اجرا یا شمار پارامتر یکتا نیست.
evidence:huggingfacetb-smollm2-1-7b-instruct-parameters,SmolLM2-1.7B-Instruct — parameter specification,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct/blob/31b70e2e869a7173562077fd711b654946d38674/README.md,"README.md: parameter count / named model variant; matching lines 32, 50, 69, 84, 119, 163, 179, 185, 234, 298",31b70e2e869a7173562077fd711b654946d38674,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-1.7B-Instruct؛ شمار پارامترهای معرفی‌شده و حدود شمارش آن‌ها.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.
evidence:huggingfacetb-smollm2-1-7b-instruct-license,SmolLM2-1.7B-Instruct — license declaration,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct/blob/31b70e2e869a7173562077fd711b654946d38674/README.md,"README.md: license / underlying-model terms; Hub $.cardData.license; matching lines 3, 27, 321, 323",31b70e2e869a7173562077fd711b654946d38674,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-1.7B-Instruct؛ نام و شرایط مجوز اعلام‌شدهٔ ناشر؛ بدون داوری دربارهٔ اجرای حقوقی در ایران.,
evidence:huggingfacetb-smollm2-1-7b-instruct-config,SmolLM2-1.7B-Instruct — configuration,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct/blob/31b70e2e869a7173562077fd711b654946d38674/config.json,"config.json: architectures, model_type, text_config, max_position_embeddings, quantization_config, torch_dtype/dtype",31b70e2e869a7173562077fd711b654946d38674,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-1.7B-Instruct؛ پیکربندی checkpoint، نه نتیجهٔ آزمون کیفیت یا سازگاری.,
evidence:huggingfacetb-smollm2-1-7b-instruct-weight-files,SmolLM2-1.7B-Instruct — selected weight-file sizes,https://huggingface.co/api/models/HuggingFaceTB/SmolLM2-1.7B-Instruct?blobs=true,$.siblings[ rfilename matches selected manifest filenames ].size; $.sha,31b70e2e869a7173562077fd711b654946d38674,2026-09-15,calculated-from-specifications,HuggingFaceTB/SmolLM2-1.7B-Instruct؛ جمع بایت فایل‌های وزن همین نمایش؛ توکنایزر، cache و تبدیل خارج است.,اندازهٔ دیسک است؛ معادل VRAM یا RAM نیست. | هیچ فایل وزن دانلود یا روی سخت‌افزار اجرا نشده است.
evidence:huggingfacetb-smollm2-135m-instruct-card,SmolLM2-135M-Instruct — model card,https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct/blob/12fd25f77366fa6b3b4b768ec3050bf629380bac/README.md,"README.md: model description / architecture / intended use; matching lines 22, 28, 138",12fd25f77366fa6b3b4b768ec3050bf629380bac,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-135M-Instruct؛ شناسنامه و کاربرد اعلام‌شده، بدون تأیید مستقل.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کیفیت، زمان پاسخ و حداقل سخت‌افزار از شناسنامه استنتاج نمی‌شود.
evidence:huggingfacetb-smollm2-135m-instruct-metadata,SmolLM2-135M-Instruct — Hub metadata,https://huggingface.co/api/models/HuggingFaceTB/SmolLM2-135M-Instruct?blobs=true,$.sha; $.id; $.pipeline_tag; $.cardData; $.safetensors; $.siblings,12fd25f77366fa6b3b4b768ec3050bf629380bac,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-135M-Instruct؛ فرادادهٔ مشاهده‌شده در این تاریخ، نه اندازه‌گیری اجرای مدل.,فهرست فایل و شمار tensorها معادل حافظهٔ اجرا یا شمار پارامتر یکتا نیست.
evidence:huggingfacetb-smollm2-135m-instruct-parameters,SmolLM2-135M-Instruct — parameter specification,https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct/blob/12fd25f77366fa6b3b4b768ec3050bf629380bac/README.md,"README.md: parameter count / named model variant; matching lines 30, 46, 65, 80, 117",12fd25f77366fa6b3b4b768ec3050bf629380bac,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-135M-Instruct؛ شمار پارامترهای معرفی‌شده و حدود شمارش آن‌ها.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.
evidence:huggingfacetb-smollm2-135m-instruct-license,SmolLM2-135M-Instruct — license declaration,https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct/blob/12fd25f77366fa6b3b4b768ec3050bf629380bac/README.md,"README.md: license / underlying-model terms; Hub $.cardData.license; matching lines 3, 25, 150, 152",12fd25f77366fa6b3b4b768ec3050bf629380bac,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-135M-Instruct؛ نام و شرایط مجوز اعلام‌شدهٔ ناشر؛ بدون داوری دربارهٔ اجرای حقوقی در ایران.,
evidence:huggingfacetb-smollm2-135m-instruct-config,SmolLM2-135M-Instruct — configuration,https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct/blob/12fd25f77366fa6b3b4b768ec3050bf629380bac/config.json,"config.json: architectures, model_type, text_config, max_position_embeddings, quantization_config, torch_dtype/dtype",12fd25f77366fa6b3b4b768ec3050bf629380bac,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-135M-Instruct؛ پیکربندی checkpoint، نه نتیجهٔ آزمون کیفیت یا سازگاری.,
evidence:huggingfacetb-smollm2-135m-instruct-weight-files,SmolLM2-135M-Instruct — selected weight-file sizes,https://huggingface.co/api/models/HuggingFaceTB/SmolLM2-135M-Instruct?blobs=true,$.siblings[ rfilename matches selected manifest filenames ].size; $.sha,12fd25f77366fa6b3b4b768ec3050bf629380bac,2026-09-15,calculated-from-specifications,HuggingFaceTB/SmolLM2-135M-Instruct؛ جمع بایت فایل‌های وزن همین نمایش؛ توکنایزر، cache و تبدیل خارج است.,اندازهٔ دیسک است؛ معادل VRAM یا RAM نیست. | هیچ فایل وزن دانلود یا روی سخت‌افزار اجرا نشده است.
evidence:huggingfacetb-smollm2-360m-instruct-card,SmolLM2-360M-Instruct — model card,https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct/blob/a10cc1512eabd3dde888204e902eca88bddb4951/README.md,"README.md: model description / architecture / intended use; matching lines 22, 28, 140",a10cc1512eabd3dde888204e902eca88bddb4951,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-360M-Instruct؛ شناسنامه و کاربرد اعلام‌شده، بدون تأیید مستقل.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست. | کیفیت، زمان پاسخ و حداقل سخت‌افزار از شناسنامه استنتاج نمی‌شود.
evidence:huggingfacetb-smollm2-360m-instruct-metadata,SmolLM2-360M-Instruct — Hub metadata,https://huggingface.co/api/models/HuggingFaceTB/SmolLM2-360M-Instruct?blobs=true,$.sha; $.id; $.pipeline_tag; $.cardData; $.safetensors; $.siblings,a10cc1512eabd3dde888204e902eca88bddb4951,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-360M-Instruct؛ فرادادهٔ مشاهده‌شده در این تاریخ، نه اندازه‌گیری اجرای مدل.,فهرست فایل و شمار tensorها معادل حافظهٔ اجرا یا شمار پارامتر یکتا نیست.
evidence:huggingfacetb-smollm2-360m-instruct-parameters,SmolLM2-360M-Instruct — parameter specification,https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct/blob/a10cc1512eabd3dde888204e902eca88bddb4951/README.md,"README.md: parameter count / named model variant; matching lines 30, 49, 68, 120",a10cc1512eabd3dde888204e902eca88bddb4951,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-360M-Instruct؛ شمار پارامترهای معرفی‌شده و حدود شمارش آن‌ها.,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.
evidence:huggingfacetb-smollm2-360m-instruct-license,SmolLM2-360M-Instruct — license declaration,https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct/blob/a10cc1512eabd3dde888204e902eca88bddb4951/README.md,"README.md: license / underlying-model terms; Hub $.cardData.license; matching lines 3, 25, 152, 154",a10cc1512eabd3dde888204e902eca88bddb4951,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-360M-Instruct؛ نام و شرایط مجوز اعلام‌شدهٔ ناشر؛ بدون داوری دربارهٔ اجرای حقوقی در ایران.,
evidence:huggingfacetb-smollm2-360m-instruct-config,SmolLM2-360M-Instruct — configuration,https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct/blob/a10cc1512eabd3dde888204e902eca88bddb4951/config.json,"config.json: architectures, model_type, text_config, max_position_embeddings, quantization_config, torch_dtype/dtype",a10cc1512eabd3dde888204e902eca88bddb4951,2026-09-15,publisher-report,HuggingFaceTB/SmolLM2-360M-Instruct؛ پیکربندی checkpoint، نه نتیجهٔ آزمون کیفیت یا سازگاری.,
