model_id,model,publisher,family_id,repository_revision,kind,architecture,parameters_b_state,parameters_b,parameter_scope_note,active_b_state,active_b,context_state,context_tokens,context_note,persian_evidence,license,commercial_use_state,commercial_use,applications,evidence_ids
model:qwen-qwen3-1-7b,Qwen3-1.7B,Qwen / Alibaba Cloud,family:qwen,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,generative,dense,known,1.7,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,text-work;coding-assistant;reasoning-analysis;agents-tools,evidence:qwen-qwen3-1-7b-card;evidence:qwen-qwen3-1-7b-metadata;evidence:qwen-qwen3-1-7b-parameters;evidence:qwen-qwen3-1-7b-license;evidence:qwen-qwen3-1-7b-context;evidence:qwen-qwen3-1-7b-config
model:qwen-qwen3-14b,Qwen3-14B,Qwen / Alibaba Cloud,family:qwen,40c069824f4251a91eefaf281ebe4c544efd3e18,generative,dense,known,14.8,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,text-work;coding-assistant;reasoning-analysis;agents-tools,evidence:qwen-qwen3-14b-card;evidence:qwen-qwen3-14b-metadata;evidence:qwen-qwen3-14b-parameters;evidence:qwen-qwen3-14b-license;evidence:qwen-qwen3-14b-context;evidence:qwen-qwen3-14b-config
model:qwen-qwen3-30b-a3b,Qwen3-30B-A3B,Qwen / Alibaba Cloud,family:qwen,ad44e777bcd18fa416d9da3bd8f70d33ebb85d39,generative,moe,known,30.5,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,known,3.3,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,text-work;coding-assistant;reasoning-analysis;agents-tools,evidence:qwen-qwen3-30b-a3b-card;evidence:qwen-qwen3-30b-a3b-metadata;evidence:qwen-qwen3-30b-a3b-parameters;evidence:qwen-qwen3-30b-a3b-license;evidence:qwen-qwen3-30b-a3b-context;evidence:qwen-qwen3-30b-a3b-config
model:qwen-qwen3-32b,Qwen3-32B,Qwen / Alibaba Cloud,family:qwen,9216db5781bf21249d130ec9da846c4624c16137,generative,dense,known,32.8,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,text-work;coding-assistant;reasoning-analysis;agents-tools,evidence:qwen-qwen3-32b-card;evidence:qwen-qwen3-32b-metadata;evidence:qwen-qwen3-32b-parameters;evidence:qwen-qwen3-32b-license;evidence:qwen-qwen3-32b-context;evidence:qwen-qwen3-32b-config
model:qwen-qwen3-4b,Qwen3-4B,Qwen / Alibaba Cloud,family:qwen,1cfa9a7208912126459214e8b04321603b3df60c,generative,dense,known,4.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,text-work;coding-assistant;reasoning-analysis;agents-tools,evidence:qwen-qwen3-4b-card;evidence:qwen-qwen3-4b-metadata;evidence:qwen-qwen3-4b-parameters;evidence:qwen-qwen3-4b-license;evidence:qwen-qwen3-4b-context;evidence:qwen-qwen3-4b-config
model:qwen-qwen3-8b,Qwen3-8B,Qwen / Alibaba Cloud,family:qwen,b968826d9c46dd6066d109eabc6255188de91218,generative,dense,known,8.2,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,text-work;coding-assistant;reasoning-analysis;agents-tools,evidence:qwen-qwen3-8b-card;evidence:qwen-qwen3-8b-metadata;evidence:qwen-qwen3-8b-parameters;evidence:qwen-qwen3-8b-license;evidence:qwen-qwen3-8b-context;evidence:qwen-qwen3-8b-config
model:qwen-qwen3-coder-30b-a3b-instruct,Qwen3-Coder-30B-A3B-Instruct,Qwen / Alibaba Cloud,family:qwen,b2cff646eb4bb1d68355c01b18ae02e7cf42d120,generative,moe,known,30.5,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,known,3.3,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,coding-assistant;agents-tools,evidence:qwen-qwen3-coder-30b-a3b-instruct-card;evidence:qwen-qwen3-coder-30b-a3b-instruct-metadata;evidence:qwen-qwen3-coder-30b-a3b-instruct-parameters;evidence:qwen-qwen3-coder-30b-a3b-instruct-license;evidence:qwen-qwen3-coder-30b-a3b-instruct-context;evidence:qwen-qwen3-coder-30b-a3b-instruct-config
model:qwen-qwen3-embedding-0-6b,Qwen3-Embedding-0.6B,Qwen / Alibaba Cloud,family:qwen,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,embedding,dense,known,0.6,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,enterprise-rag,evidence:qwen-qwen3-embedding-0-6b-card;evidence:qwen-qwen3-embedding-0-6b-metadata;evidence:qwen-qwen3-embedding-0-6b-parameters;evidence:qwen-qwen3-embedding-0-6b-license;evidence:qwen-qwen3-embedding-0-6b-context;evidence:qwen-qwen3-embedding-0-6b-config
model:qwen-qwen3-embedding-4b,Qwen3-Embedding-4B,Qwen / Alibaba Cloud,family:qwen,5cf2132abc99cad020ac570b19d031efec650f2b,embedding,dense,known,4.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,enterprise-rag,evidence:qwen-qwen3-embedding-4b-card;evidence:qwen-qwen3-embedding-4b-metadata;evidence:qwen-qwen3-embedding-4b-parameters;evidence:qwen-qwen3-embedding-4b-license;evidence:qwen-qwen3-embedding-4b-context;evidence:qwen-qwen3-embedding-4b-config
model:qwen-qwen3-embedding-8b,Qwen3-Embedding-8B,Qwen / Alibaba Cloud,family:qwen,1d8ad4ca9b3dd8059ad90a75d4983776a23d44af,embedding,dense,known,8.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,enterprise-rag,evidence:qwen-qwen3-embedding-8b-card;evidence:qwen-qwen3-embedding-8b-metadata;evidence:qwen-qwen3-embedding-8b-parameters;evidence:qwen-qwen3-embedding-8b-license;evidence:qwen-qwen3-embedding-8b-context;evidence:qwen-qwen3-embedding-8b-config
model:qwen-qwen3-reranker-0-6b,Qwen3-Reranker-0.6B,Qwen / Alibaba Cloud,family:qwen,e61197ed45024b0ed8a2d74b80b4d909f1255473,reranker,dense,known,0.6,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,enterprise-rag,evidence:qwen-qwen3-reranker-0-6b-card;evidence:qwen-qwen3-reranker-0-6b-metadata;evidence:qwen-qwen3-reranker-0-6b-parameters;evidence:qwen-qwen3-reranker-0-6b-license;evidence:qwen-qwen3-reranker-0-6b-context;evidence:qwen-qwen3-reranker-0-6b-config
model:qwen-qwen3-reranker-4b,Qwen3-Reranker-4B,Qwen / Alibaba Cloud,family:qwen,22e683669bc0f0bd69640a1354a6d0aebcfeede5,reranker,dense,known,4.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,enterprise-rag,evidence:qwen-qwen3-reranker-4b-card;evidence:qwen-qwen3-reranker-4b-metadata;evidence:qwen-qwen3-reranker-4b-parameters;evidence:qwen-qwen3-reranker-4b-license;evidence:qwen-qwen3-reranker-4b-context;evidence:qwen-qwen3-reranker-4b-config
model:qwen-qwen3-reranker-8b,Qwen3-Reranker-8B,Qwen / Alibaba Cloud,family:qwen,77d193c791ed757ca307ee72715aa132723da912,reranker,dense,known,8.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,known,32768,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است. مقدار native یا جدول مشخصات استفاده شده؛ config ممکن است 40960 باشد.,not-evaluated,Apache-2.0,known,allowed,enterprise-rag,evidence:qwen-qwen3-reranker-8b-card;evidence:qwen-qwen3-reranker-8b-metadata;evidence:qwen-qwen3-reranker-8b-parameters;evidence:qwen-qwen3-reranker-8b-license;evidence:qwen-qwen3-reranker-8b-context;evidence:qwen-qwen3-reranker-8b-config
model:qwen-qwen3-vl-8b-instruct,Qwen3-VL-8B-Instruct,Qwen / Alibaba Cloud,family:qwen,0c351dd01ed87e9c1b53cbc748cba10e6187ff3b,vision-language,dense,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,not-applicable,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:qwen-qwen3-vl-8b-instruct-card;evidence:qwen-qwen3-vl-8b-instruct-metadata;evidence:qwen-qwen3-vl-8b-instruct-parameters;evidence:qwen-qwen3-vl-8b-instruct-license;evidence:qwen-qwen3-vl-8b-instruct-context;evidence:qwen-qwen3-vl-8b-instruct-config
model:qwen-qwen3-5-2b,Qwen3.5-2B,Qwen / Alibaba Cloud,family:qwen,15852e8c16360a2fea060d615a32b45270f8a8fc,vision-language,hybrid,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,unknown,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:qwen-qwen3-5-2b-card;evidence:qwen-qwen3-5-2b-metadata;evidence:qwen-qwen3-5-2b-parameters;evidence:qwen-qwen3-5-2b-license;evidence:qwen-qwen3-5-2b-context;evidence:qwen-qwen3-5-2b-config
model:qwen-qwen3-5-35b-a3b,Qwen3.5-35B-A3B,Qwen / Alibaba Cloud,family:qwen,59d61f3ce65a6d9863b86d2e96597125219dc754,vision-language,hybrid,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,unknown,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:qwen-qwen3-5-35b-a3b-card;evidence:qwen-qwen3-5-35b-a3b-metadata;evidence:qwen-qwen3-5-35b-a3b-parameters;evidence:qwen-qwen3-5-35b-a3b-license;evidence:qwen-qwen3-5-35b-a3b-context;evidence:qwen-qwen3-5-35b-a3b-config
model:qwen-qwen3-5-4b,Qwen3.5-4B,Qwen / Alibaba Cloud,family:qwen,851bf6e806efd8d0a36b00ddf55e13ccb7b8cd0a,vision-language,hybrid,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,unknown,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:qwen-qwen3-5-4b-card;evidence:qwen-qwen3-5-4b-metadata;evidence:qwen-qwen3-5-4b-parameters;evidence:qwen-qwen3-5-4b-license;evidence:qwen-qwen3-5-4b-context;evidence:qwen-qwen3-5-4b-config
model:qwen-qwen3-5-9b,Qwen3.5-9B,Qwen / Alibaba Cloud,family:qwen,c202236235762e1c871ad0ccb60c8ee5ba337b9a,vision-language,hybrid,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,unknown,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:qwen-qwen3-5-9b-card;evidence:qwen-qwen3-5-9b-metadata;evidence:qwen-qwen3-5-9b-parameters;evidence:qwen-qwen3-5-9b-license;evidence:qwen-qwen3-5-9b-context;evidence:qwen-qwen3-5-9b-config
model:qwen-qwen3-8-27b,Qwen3.8-27B,Qwen / Alibaba Cloud,family:qwen,1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,vision-language,hybrid,unknown,,شمار کل با دامنهٔ یکنواخت تأیید نشده؛ شمار جزء زبانی، فعال یا ذخیره‌شده جای آن ننشسته است.,unknown,,known,262144,ظرفیت اعلام‌شدهٔ ناشر؛ ارزیابی کیفیت بلندمتن در این بسته ثبت نشده است.,not-evaluated,Apache-2.0,known,allowed,text-work;document-vision,evidence:qwen-qwen3-8-27b-card;evidence:qwen-qwen3-8-27b-metadata;evidence:qwen-qwen3-8-27b-parameters;evidence:qwen-qwen3-8-27b-license;evidence:qwen-qwen3-8-27b-context;evidence:qwen-qwen3-8-27b-config
model:allenai-olmo-3-7b-instruct,Olmo-3-7B-Instruct,Allen Institute for AI,family:olmo,6e5971d9eba42665f5bd5a0fcf047f299ce1dccc,generative,dense,known,7.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,Apache-2.0,known,allowed,text-work,evidence:allenai-olmo-3-7b-instruct-card;evidence:allenai-olmo-3-7b-instruct-metadata;evidence:allenai-olmo-3-7b-instruct-parameters;evidence:allenai-olmo-3-7b-instruct-license;evidence:allenai-olmo-3-7b-instruct-config
model:deepseek-ai-deepseek-r1-0528-qwen3-8b,DeepSeek-R1-0528-Qwen3-8B,DeepSeek,family:deepseek,6e8885a6ff5c1dc5201574c8fd700323f23c25fa,generative,dense,known,8.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT,known,allowed,text-work;coding-assistant;reasoning-analysis,evidence:deepseek-ai-deepseek-r1-0528-qwen3-8b-card;evidence:deepseek-ai-deepseek-r1-0528-qwen3-8b-metadata;evidence:deepseek-ai-deepseek-r1-0528-qwen3-8b-parameters;evidence:deepseek-ai-deepseek-r1-0528-qwen3-8b-license;evidence:deepseek-ai-deepseek-r1-0528-qwen3-8b-config
model:deepseek-ai-deepseek-r1-distill-llama-70b,DeepSeek-R1-Distill-Llama-70B,DeepSeek,family:deepseek,b1c0b44b4369b597ad119a196caf79a9c40e141e,generative,dense,known,70.0,اعداد پارامتر معرفی مدل، گرد‌شده‌اند؛ safetensors.total شمار عناصر ذخیره‌شده است و الزاماً پارامتر یکتا نیست.,not-applicable,,unknown,,برای این گونه، سقف زمینهٔ اعلام‌شده با دامنهٔ روشن در این بسته تأیید نشده؛ مقدار max_position_embeddings فقط در دادهٔ پژوهشی نگه داشته شده است.,not-evaluated,MIT + underlying Llama 3.3 terms,unknown,,text-work;coding-assistant;reasoning-analysis,evidence:deepseek-ai-deepseek-r1-distill-llama-70b-card;evidence:deepseek-ai-deepseek-r1-distill-llama-70b-metadata;evidence:deepseek-ai-deepseek-r1-distill-llama-70b-parameters;evidence:deepseek-ai-deepseek-r1-distill-llama-70b-license;evidence:deepseek-ai-deepseek-r1-distill-llama-70b-config
