model,reporter,relationship,benchmark,version,metric,value,unit,evaluatedRevision,sourceDocumentRevision,evaluatedOn,publishedOn,accessedOn,settings,sources
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,publisher,LiveCodeBench,,pass@1,16.9,percent,,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B/blob/ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562/README.md
DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek,publisher,Codeforces,,rating,954,rating,,ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""روش گزارش"": ""rating در جدول ناشر؛ روش تبدیل به rating و تعداد نمونهٔ آن جداگانه تشریح نشده است.""}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B/blob/ad9f0ae0864d7fbcd1cd905e3c6c5b069cc8b562/README.md
DeepSeek-R1-Distill-Qwen-14B,DeepSeek,publisher,AIME 2024,,pass@1,69.7,percent,,1df8507178afcc1bef68cd8c393f61a886323761,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B/blob/1df8507178afcc1bef68cd8c393f61a886323761/README.md
DeepSeek-R1-Distill-Qwen-14B,DeepSeek,publisher,AIME 2024,,cons@64,80.0,percent,,1df8507178afcc1bef68cd8c393f61a886323761,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B/blob/1df8507178afcc1bef68cd8c393f61a886323761/README.md
DeepSeek-R1-Distill-Qwen-14B,DeepSeek,publisher,MATH-500,,pass@1,93.9,percent,,1df8507178afcc1bef68cd8c393f61a886323761,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B/blob/1df8507178afcc1bef68cd8c393f61a886323761/README.md
DeepSeek-R1-Distill-Qwen-14B,DeepSeek,publisher,GPQA Diamond,,pass@1,59.1,percent,,1df8507178afcc1bef68cd8c393f61a886323761,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B/blob/1df8507178afcc1bef68cd8c393f61a886323761/README.md
DeepSeek-R1-Distill-Qwen-14B,DeepSeek,publisher,LiveCodeBench,,pass@1,53.1,percent,,1df8507178afcc1bef68cd8c393f61a886323761,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B/blob/1df8507178afcc1bef68cd8c393f61a886323761/README.md
DeepSeek-R1-Distill-Qwen-14B,DeepSeek,publisher,Codeforces,,rating,1481,rating,,1df8507178afcc1bef68cd8c393f61a886323761,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""روش گزارش"": ""rating در جدول ناشر؛ روش تبدیل به rating و تعداد نمونهٔ آن جداگانه تشریح نشده است.""}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B/blob/1df8507178afcc1bef68cd8c393f61a886323761/README.md
DeepSeek-R1-Distill-Qwen-32B,DeepSeek,publisher,AIME 2024,,pass@1,72.6,percent,,711ad2ea6aa40cfca18895e8aca02ab92df1a746,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/blob/711ad2ea6aa40cfca18895e8aca02ab92df1a746/README.md
DeepSeek-R1-Distill-Qwen-32B,DeepSeek,publisher,AIME 2024,,cons@64,83.3,percent,,711ad2ea6aa40cfca18895e8aca02ab92df1a746,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/blob/711ad2ea6aa40cfca18895e8aca02ab92df1a746/README.md
DeepSeek-R1-Distill-Qwen-32B,DeepSeek,publisher,MATH-500,,pass@1,94.3,percent,,711ad2ea6aa40cfca18895e8aca02ab92df1a746,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/blob/711ad2ea6aa40cfca18895e8aca02ab92df1a746/README.md
DeepSeek-R1-Distill-Qwen-32B,DeepSeek,publisher,GPQA Diamond,,pass@1,62.1,percent,,711ad2ea6aa40cfca18895e8aca02ab92df1a746,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/blob/711ad2ea6aa40cfca18895e8aca02ab92df1a746/README.md
DeepSeek-R1-Distill-Qwen-32B,DeepSeek,publisher,LiveCodeBench,,pass@1,57.2,percent,,711ad2ea6aa40cfca18895e8aca02ab92df1a746,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/blob/711ad2ea6aa40cfca18895e8aca02ab92df1a746/README.md
DeepSeek-R1-Distill-Qwen-32B,DeepSeek,publisher,Codeforces,,rating,1691,rating,,711ad2ea6aa40cfca18895e8aca02ab92df1a746,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""روش گزارش"": ""rating در جدول ناشر؛ روش تبدیل به rating و تعداد نمونهٔ آن جداگانه تشریح نشده است.""}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/blob/711ad2ea6aa40cfca18895e8aca02ab92df1a746/README.md
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,publisher,AIME 2024,,pass@1,55.5,percent,,916b56a44061fd5cd7d6a8fb632557ed4f724f60,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B/blob/916b56a44061fd5cd7d6a8fb632557ed4f724f60/README.md
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,publisher,AIME 2024,,cons@64,83.3,percent,,916b56a44061fd5cd7d6a8fb632557ed4f724f60,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B/blob/916b56a44061fd5cd7d6a8fb632557ed4f724f60/README.md
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,publisher,MATH-500,,pass@1,92.8,percent,,916b56a44061fd5cd7d6a8fb632557ed4f724f60,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B/blob/916b56a44061fd5cd7d6a8fb632557ed4f724f60/README.md
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,publisher,GPQA Diamond,,pass@1,49.1,percent,,916b56a44061fd5cd7d6a8fb632557ed4f724f60,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B/blob/916b56a44061fd5cd7d6a8fb632557ed4f724f60/README.md
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,publisher,LiveCodeBench,,pass@1,37.6,percent,,916b56a44061fd5cd7d6a8fb632557ed4f724f60,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""دما"": 0.6, ""top_p"": 0.95, ""پاسخ نمونه برای هر پرسش"": 64}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B/blob/916b56a44061fd5cd7d6a8fb632557ed4f724f60/README.md
DeepSeek-R1-Distill-Qwen-7B,DeepSeek,publisher,Codeforces,,rating,1189,rating,,916b56a44061fd5cd7d6a8fb632557ed4f724f60,,,2026-09-15,"{""حداکثر توکن خروجی"": 32768, ""روش گزارش"": ""rating در جدول ناشر؛ روش تبدیل به rating و تعداد نمونهٔ آن جداگانه تشریح نشده است.""}",https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B/blob/916b56a44061fd5cd7d6a8fb632557ed4f724f60/README.md
Qwen3-Embedding-0.6B,Qwen,publisher,MTEB Multilingual,,Mean (Task),64.33,score,,97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3,,,2026-09-15,"{""بعد embedding"": 1024, ""نوع نتیجه"": ""میانگین وظایف جدول ناشر؛ جزئیات کامل تنظیمات در این جدول گزارش نشده""}",https://huggingface.co/Qwen/Qwen3-Embedding-0.6B/blob/97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3/README.md
Qwen3-Embedding-4B,Qwen,publisher,MTEB Multilingual,,Mean (Task),69.45,score,,5cf2132abc99cad020ac570b19d031efec650f2b,,,2026-09-15,"{""بعد embedding"": 2560, ""نوع نتیجه"": ""میانگین وظایف جدول ناشر؛ جزئیات کامل تنظیمات در این جدول گزارش نشده""}",https://huggingface.co/Qwen/Qwen3-Embedding-4B/blob/5cf2132abc99cad020ac570b19d031efec650f2b/README.md
Qwen3-Embedding-8B,Qwen,publisher,MTEB Multilingual,,Mean (Task),70.58,score,,1d8ad4ca9b3dd8059ad90a75d4983776a23d44af,,,2026-09-15,"{""بعد embedding"": 4096, ""نوع نتیجه"": ""میانگین وظایف جدول ناشر؛ جزئیات کامل تنظیمات در این جدول گزارش نشده""}",https://huggingface.co/Qwen/Qwen3-Embedding-8B/blob/1d8ad4ca9b3dd8059ad90a75d4983776a23d44af/README.md
Qwen3-Reranker-0.6B,Qwen,publisher,MTEB Code,v1,nDCG@10,73.42,score,,e61197ed45024b0ed8a2d74b80b4d909f1255473,,2025-06-05,2026-09-15,"{""بازیاب اولیه"": ""Qwen3-Embedding-0.6B"", ""تعداد نامزد برای هر query"": 100, ""مجموعه"": ""MTEB (Code, v1) — 12 retrieval tasks""}",https://huggingface.co/Qwen/Qwen3-Reranker-0.6B/blob/e61197ed45024b0ed8a2d74b80b4d909f1255473/README.md | https://arxiv.org/html/2506.05176v1
Qwen3-Reranker-4B,Qwen,publisher,MTEB Code,v1,nDCG@10,81.2,score,,22e683669bc0f0bd69640a1354a6d0aebcfeede5,,2025-06-05,2026-09-15,"{""بازیاب اولیه"": ""Qwen3-Embedding-0.6B"", ""تعداد نامزد برای هر query"": 100, ""مجموعه"": ""MTEB (Code, v1) — 12 retrieval tasks""}",https://huggingface.co/Qwen/Qwen3-Reranker-4B/blob/22e683669bc0f0bd69640a1354a6d0aebcfeede5/README.md | https://arxiv.org/html/2506.05176v1
Qwen3-Reranker-8B,Qwen,publisher,MTEB Code,v1,nDCG@10,81.22,score,,77d193c791ed757ca307ee72715aa132723da912,,2025-06-05,2026-09-15,"{""بازیاب اولیه"": ""Qwen3-Embedding-0.6B"", ""تعداد نامزد برای هر query"": 100, ""مجموعه"": ""MTEB (Code, v1) — 12 retrieval tasks""}",https://huggingface.co/Qwen/Qwen3-Reranker-8B/blob/77d193c791ed757ca307ee72715aa132723da912/README.md | https://arxiv.org/html/2506.05176v1
multilingual-e5-small,Microsoft — Wang et al.,publisher,MIRACL,,nDCG@10,60.8,score,,arXiv:2402.05672v1,,2024-02-08,2026-09-15,"{""split"": ""development"", ""تجمیع"": ""میانگین ۱۶ زبان — Table 4""}",https://arxiv.org/html/2402.05672v1
