model,releasedOn,precision,lastReviewedOn,releaseSources
gemma-4-26B-A4B-it,2026-03-31,day,2026-09-15,https://ai.google.dev/gemma/docs/releases
gemma-4-E2B-it,2026-03-31,day,2026-09-15,https://ai.google.dev/gemma/docs/releases
granite-3.3-2b-instruct,2025-04-16,day,2026-09-15,https://community.ibm.com/community/user/blogs/nickolus-plowden/2025/04/16/ibm-granite-33-speech-recognition-refined-reasonin
multilingual-e5-small,2023,year,2026-09-15,https://arxiv.org/html/2402.05672v1
Llama-3.1-70B-Instruct,2024-07-23,day,2026-09-15,https://ai.meta.com/blog/meta-llama-3-1/
Llama-3.1-8B-Instruct,2024-07-23,day,2026-09-15,https://ai.meta.com/blog/meta-llama-3-1/
Llama-3.2-1B-Instruct,2024-09-25,day,2026-09-15,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
Llama-3.2-3B-Instruct,2024-09-25,day,2026-09-15,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/
Phi-4-mini-instruct,2025-02,month,2026-09-15,https://huggingface.co/microsoft/Phi-4-mini-instruct/blob/cfbefacb99257ffa30c83adab238a50856ac3083/README.md
Devstral-Small-2-24B-Instruct-2512,2025-12-09,day,2026-09-15,https://mistral.ai/news/devstral-2-vibe-cli
Ministral-3-3B-Instruct-2512,2025-12-02,day,2026-09-15,https://mistral.ai/news/mistral-3
Mistral-7B-Instruct-v0.3,2024-05-22,day,2026-09-15,https://docs.mistral.ai/models/mistral-7b-0-3
Mistral-Small-3.1-24B-Instruct-2503,2025-03-17,day,2026-09-15,https://mistral.ai/news/mistral-small-3-1
NVIDIA-Nemotron-Nano-9B-v2,2025-08-18,day,2026-09-15,https://huggingface.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2/blob/6533e8de2c68e4536bf7c411d7a3ce5734111476/README.md
gpt-oss-120b,2025-08-05,day,2026-09-15,https://openai.com/index/introducing-gpt-oss/
gpt-oss-20b,2025-08-05,day,2026-09-15,https://openai.com/index/introducing-gpt-oss/
GLM-4.7-Flash,2026-01-19,day,2026-09-15,https://docs.z.ai/release-notes/new-released
